"name","party","storkreds","lokalkreds","ran.last.election","age","sex","title","location","pers.votes","UDDANNELSE__Efter folkeskolereformen får eleverne for lange skoledage","FOREBYGGELSE__Afgiften på cigaretter skal sættes op","SUNDHED__Et besøg hos den praktiserende læge skal koste eksempelvis 100 kr.","VELFÆRD__Mere af ældreplejen skal udliciteres til private virksomheder","ARBEJDSMARKED__Man skal hurtigere kunne genoptjene retten til dagpenge","ARBEJDSMARKED__Virksomheder skal kunne drages til ansvar for, om deres udenlandske underleverandører i Danmark overholder danske regler om løn, moms og skat","ØKONOMI__Vækst i den offentlige sektor er vigtigere end skattelettelser","TRAFIK__Investeringer i kollektiv trafik skal prioriteres højere end investeringer til fordel for privatbilisme","RET__Straffen for grov vold og voldtægt skal skærpes","SOCIAL__Kontanthjælpen skal sænkes, så den økonomiske gevinst ved at arbejde bliver større","INTEGRATION__Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter","EU__EU bestemmer for meget i forhold til dansk lov","UDVIKLING__Ulandsbistanden skal sænkes","KULTUR__Den offentlige kulturstøtte skal sænkes"
"Anne Katrine Melvig","venstre","Fyns "," Nyborg"," Nej ",39," Kvinde "," Konsulent "," 2820 Gentofte",1820,"Helt uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Helt enig","Delvist uenig"
"Ole Filstrup Pedersen","venstre","Fyns "," Faaborg"," Nej ",52," Mand "," Lærer "," 5600 Faaborg",1534,"Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Delvist enig"
"Pernille Skipper","enhedslisten","Fyns "," Odense Øst"," Ja ",31," Kvinde "," Cand.jur. "," Ukendt",11120,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Rune Lund","enhedslisten","Fyns "," Middelfart"," Nej ",38," Mand "," Konsulent "," 2200 København N",530,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Jesper Kiel","enhedslisten","Fyns "," Svendborg"," Ja ",49," Mand "," Organisationssek. "," 5700 Svendborg",604,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig"
"Vibeke Syppli Enrum","enhedslisten","Fyns "," Faaborg"," Ja ",67," Kvinde "," Lektor "," 5892 Gudbjerg Sydfyn",261,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Torsten Ringgård","enhedslisten","Fyns "," Odense Syd"," Nej ",39," Mand "," Driftschef "," 5250 Odense SV",137,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt uenig"
"Reza Javid","enhedslisten","Fyns "," Odense Vest"," Nej ",52," Mand "," Lektor i Psykologi "," 5240 Odense NØ",245,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Malene Rye Andersen","enhedslisten","Fyns "," Assens"," Nej ",41," Kvinde "," Folkeskolelærer "," 5631 Ebberup",225,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Delvist uenig"
"Per Jensen","enhedslisten","Fyns "," Nyborg"," Nej ",58," Mand "," Pedel "," 5800 Nyborg",191,"Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Hverken enig eller uenig"
"Roger Matthisen","alternativet","Fyns "," Ukendt"," Nej ",39," Mand "," cand.ling.merc. "," 2100 København Ø",1081,"Delvist enig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt uenig"
"Nikolaj Amstrup","alternativet","Fyns "," Svendborg"," Nej ",42," Mand "," boghandler "," 5700 Svendborg",1035,"Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig"
"Karl Magnus Bidstrup","alternativet","Fyns "," Svendborg"," Nej ",34," Mand "," Adjunkt "," 5881 Skårup Fyn",429,"Helt enig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt uenig"
"Henrik Halle","alternativet","Fyns "," Ukendt"," Nej ",42," Mand "," Folkeskolelærer "," 5683 Haarby",532,"Delvist enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Helt enig","Delvist uenig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Delvist enig","Delvist uenig","Helt uenig"
"Dan Westerholt","alternativet","Fyns "," Ukendt"," Nej ",21," Mand "," Studerende ","  Odense C",169,"Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"Benny Engelbrecht","socialdemokraterne","Sydjyllands "," Sønderborg"," Ja ",45," Mand "," Skatteminister "," 6300 Gråsten",8516,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig"
"Niels Ole Beck","socialdemokraterne","Sydjyllands "," Varde"," Ja ",58," Mand "," Socialpædagog "," 6800 Varde",1130,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig"
"Helle Due Buchvaldt","socialdemokraterne","Sydjyllands "," Esbjerg omegn"," Nej ",50," Kvinde "," Socialrådgiver "," 6000 Kolding",2739,"Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig"
"Ove Jensen","socialdemokraterne","Sydjyllands "," Kolding nord"," Ja ",73," Mand "," Pensionist "," 7000 Fredericia",138,"Helt uenig","Helt enig","Delvist enig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt uenig"
"Karen Johanne Klint","socialdemokraterne","Sydjyllands "," Vejle syd"," Ja ",68," Kvinde "," Institutionsleder "," 7120 Vejle Øst",6050,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig"
"Christian Rabjerg Madsen","socialdemokraterne","Sydjyllands "," Kolding syd"," Ja ",29," Mand "," Udv.konsulent "," 6000 Kolding",5201,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig"
"Frank Mosegård","socialdemokraterne","Sydjyllands "," Ukendt"," Nej ",43," Mand "," Vinduesoperatør "," 7323 Give",354,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig"
"John Nyborg","socialdemokraterne","Sydjyllands "," Fredericia"," Nej ",52," Mand "," Pædagog, Kontorchef i Børne- og ungeafdelingen Fredericia Kommune "," 7000 Fredericia",2719,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig"
"Jesper Petersen","socialdemokraterne","Sydjyllands "," Haderslev"," Ja ",34," Mand "," BA.scient.pol. ","  København V",6842,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig"
"Troels Ravn","socialdemokraterne","Sydjyllands "," Vejen"," Ja ",54," Mand "," Skoleleder "," 6600 Vejen",5891,"Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Anne Sina","socialdemokraterne","Sydjyllands "," Aabenraa"," Ja ",28," Kvinde "," Cand.scient.pol. "," 2300 København S",4582,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Stephan Kleinschmidt","radikale venstre","Sydjyllands "," Sønderborg, Tønder"," Nej ",38," Mand "," Politisk rådgiver "," 6400 Sønderborg",2819,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"Jonna Buch Andersen","radikale venstre","Sydjyllands "," Varde"," Nej ",55," Kvinde "," Socialrådgiver "," 6753 Agerbæk",326,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Rune Christiansen","radikale venstre","Sydjyllands "," Fredericia, Kolding nord"," Nej ",38," Mand "," Lektor i historiedidaktik "," 6000 Kolding",180,"Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Marlene Borst Hansen","radikale venstre","Sydjyllands "," Kolding syd, Haderslev"," Ja ",41," Kvinde "," Lærer "," 2500 Valby",927,"Helt uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Ole Lynggård Jørgensen","radikale venstre","Sydjyllands "," Vejle nord"," Nej ",60," Mand "," Handelsskolelærer "," 7100 Vejle",275,"Hverken enig eller uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Lotte Rod","radikale venstre","Sydjyllands "," Esbjerg by, Vejle syd"," Ja ",30," Kvinde "," cand.scient.pol. "," 2300 København S",2316,"Hverken enig eller uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig"
"John Bach Thygesen","radikale venstre","Sydjyllands "," Esbjerg omegn"," Nej ",55," Mand "," Maskintekniker "," 6870 Ølgod",174,"Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig"
"Mike Legarth","det konservative folkeparti","Sydjyllands "," Sønderborg"," Ja ",55," Mand "," MF, direktør "," 6580 Vamdrup",4031,"Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig"
"Dan Arnløv","det konservative folkeparti","Sydjyllands "," Esbjerg omegn"," Nej ",40," Mand "," Byrådsmedlem "," 7100 Vejle",396,"Helt enig","Helt uenig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Helt uenig"
"Tine Roos Nørgård","det konservative folkeparti","Sydjyllands "," Aabenraa"," Nej ",35," Kvinde "," Afdelingsleder "," 6000 Kolding",490,"Delvist enig","Helt uenig","Helt uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig"
"Tina Franson Spile","det konservative folkeparti","Sydjyllands "," Tønder"," Nej ",45," Kvinde "," Controller "," 6430 Nordborg",307,"Delvist enig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig"
"Peder Tørnqvist","det konservative folkeparti","Sydjyllands "," Esbjerg by"," Nej ",54," Mand "," Jobkonsulent "," 6760 Ribe",298,"Helt enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig"
"Dennis Ørsted Petersen","socialistisk folkeparti","Sydjyllands "," Sønderborg"," Nej ",27," Mand "," Faglig konsulent "," 6400 Sønderborg",207,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig"
"Brian Bruhn","socialistisk folkeparti","Sydjyllands "," Vejle nord"," Ja ",41," Mand "," Tek. Serviceleder "," 7100 Vejle",187,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt uenig"
"Ida Damborg","socialistisk folkeparti","Sydjyllands "," Esbjerg by"," Ja ",46," Kvinde "," Projektleder "," 6000 Kolding",905,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig"
"Karina Lorentzen Dehnhardt","socialistisk folkeparti","Sydjyllands "," Kolding syd"," Ja ",41," Kvinde "," Folkeskolelærer "," 6000 Kolding",3169,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig"
"Hans Holmer","socialistisk folkeparti","Sydjyllands "," Kolding nord"," Nej ",35," Mand "," Fuldmægtig "," 6000 Kolding",165,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Claus Larsen","socialistisk folkeparti","Sydjyllands "," Varde"," Nej ",57," Mand "," Faglærer "," 6800 Varde",109,"Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Susanne Mathiesen","socialistisk folkeparti","Sydjyllands "," Vejen"," Nej ",54," Kvinde "," Centerchef "," 7200 Grindsted",383,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist enig"
"Ronny Roy Nielsen","socialistisk folkeparti","Sydjyllands "," Vejle syd"," Nej ",36," Mand "," Pædagog "," 7100 Vejle",180,"Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Rune Bai Nielsen","socialistisk folkeparti","Sydjyllands "," Esbjerg omegn"," Nej ",38," Mand "," Ledig "," 6760 Ribe",111,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist enig"
"Lars Olesen","socialistisk folkeparti","Sydjyllands "," Fredericia"," Nej ",37," Mand "," Folkeskolelærer "," 7000 Fredericia",162,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Einar Olsen","socialistisk folkeparti","Sydjyllands "," Haderslev"," Ja ",60," Mand "," Efterskolelærer "," 6500 Vojens",145,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Hans Winther","socialistisk folkeparti","Sydjyllands "," Aabenraa"," Ja ",59," Mand "," Sioleinspektør "," 6000 Kolding",111,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Mette Bock","liberal alliance","Sydjyllands "," Storkredskandidat"," Ja ",58," Kvinde "," MF "," 8700 Horsens",11588,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist uenig"
"Sarah Maria Grønbæk","liberal alliance","Sydjyllands "," Storkredskandidat"," Nej ",48," Kvinde "," Bygningsingeniør "," 6440 Augustenborg",353,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Dennis Påske","liberal alliance","Sydjyllands "," Storkredskandidat"," Nej ",34," Mand "," Coach "," 6000 Kolding",277,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Henrik Dahl","liberal alliance","Sydjyllands "," Storkredskandidat"," Nej ",55," Mand "," Forfatter "," 4660 Store Heddinge",2902,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig"
"Malene Ravn Neumann","liberal alliance","Sydjyllands "," Storkredskandidat"," Nej ",34," Kvinde "," Socialrådgiver "," 6100 Haderslev",371,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Steen Holm Iversen","liberal alliance","Sydjyllands "," Storkredskandidat"," Nej ",51," Mand "," Major i hæren "," 6800 Varde",451,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Frank Wichmann","liberal alliance","Sydjyllands "," Storkredskandidat"," Nej ",53," Mand "," Lokomotivfører "," 7000 Fredericia",178,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Jakob Arendt Laursen","liberal alliance","Sydjyllands "," Storkredskandidat"," Nej ",35," Mand "," Lærerstuderende "," 6700 Esbjerg",173,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Niels Møller Jessen","kristendemokraterne","Sydjyllands "," Haderslev, Sønderborg, Tønder"," Ja ",56," Mand "," Kirketjener "," 6500 Vojens",297,"Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt uenig","Delvist enig"
"Knud Erik Hansen","kristendemokraterne","Sydjyllands "," Aabenraa"," Ja ",70," Mand "," Fhv. skoleleder "," 6560 Sommersted",347,"Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig"
"Jens Schmidt Holm","kristendemokraterne","Sydjyllands "," Varde"," Nej ",66," Mand "," Deltidslandmand "," 6870 Ølgod",170,"Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig"
"Birgit Jakobsen","kristendemokraterne","Sydjyllands "," Vejle syd, Vejle nord"," Nej ",51," Kvinde "," Folkeskolelærer "," 7100 Vejle",473,"Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Hverken enig eller uenig"
"Jan Rytkjær Callesen","dansk folkeparti","Sydjyllands "," Sønderborg"," Nej ",52," Mand "," Selvstændig "," 6430 Nordborg",2972,"Hverken enig eller uenig","Helt enig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Delvist uenig"
"Jack Abilslund-Gregersen","dansk folkeparti","Sydjyllands "," Esbjerg omegn"," Nej ",33," Mand "," Chauffør "," 6000 Kolding",892,"Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig"
"Karina Adsbøl","dansk folkeparti","Sydjyllands "," Kolding syd"," Ja ",38," Kvinde "," Social- og sundhedsassistent "," 6580 Vamdrup",3101,"Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig"
"Kristian Thulesen Dahl","dansk folkeparti","Sydjyllands "," Vejle nord"," Ja ",46," Mand "," Cand.merc.jur. "," 7323 Give",57371,"Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig"
"Susanne Eilersen","dansk folkeparti","Sydjyllands "," Esbjerg by"," Ja ",51," Kvinde "," Merkonom "," 7000 Fredericia",2421,"Delvist uenig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig"
"Julie Gottschalk","dansk folkeparti","Sydjyllands "," Tønder"," Nej ",22," Kvinde "," Studerende "," 6800 Varde",1555,"Delvist enig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Helt enig"
"Kristina Jørgensen","dansk folkeparti","Sydjyllands "," Vejen"," Nej ",27," Kvinde "," Økonom "," 6000 Kolding",2185,"Delvist uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist enig"
"Marie Krarup","dansk folkeparti","Sydjyllands "," Varde"," Ja ",49," Kvinde "," Gymnasielærer "," 1774 København V",2436,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Helt uenig"
"Svend Erik Nielsen","dansk folkeparti","Sydjyllands "," Haderslev"," Nej ",59," Mand "," Regnskabschef "," 7182 Bredsted",866,"Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist enig"
"Frank Nørgård Dam","dansk folkeparti","Sydjyllands "," Kolding nord"," Nej ",65," Mand "," Virk.konsulent "," 6000 Kolding",332,"Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Helt enig","Helt enig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt uenig","Helt uenig"
"Kenneth Fredslund Petersen","dansk folkeparti","Sydjyllands "," Vejle syd"," Nej ",50," Mand "," Tapperiassistent "," 7120 Vejle Øst",698,"Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Delvist enig"
"Peter Kofod Poulsen","dansk folkeparti","Sydjyllands "," Aabenraa"," Ja ",25," Mand "," Lærerstuderende "," 6100 Haderslev",3336,"Delvist enig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig"
"Jesper Strøm","dansk folkeparti","Sydjyllands "," Fredericia"," Nej ",50," Mand "," Kørelærer "," 7000 Fredericia",652,"Delvist enig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig"
"Ellen Trane Nørby","venstre","Sydjyllands "," Sønderborg"," Ja ",35," Kvinde "," Ukendt "," 6400 Sønderborg",12012,"Delvist uenig","Delvist uenig","Helt uenig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig"
